id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22	PositiveTail 23	PositiveTail 24	PositiveTail 25	PositiveTail 26	PositiveTail 27
Barman et al., 2015-monetary reward > social reward; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barman et al., 2015-reward > neutral; socialcommunication	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barman et al., 2015-social reward > monetary reward; socialcommunication	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Beyer et al., 2014-Decision phase: Angry > neutral; socialcommunication	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beyer et al., 2014-Decision phase: Parametric modulation angry > neutral; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beyer et al., 2014-Outcome phase: Angry > neutral; socialcommunication	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bockler et al., 2016-averted gaze > eye contact; socialcommunication	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bockler et al., 2016-averted gaze x incongruent > averted  gaze x congruent; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bockler et al., 2016-congruent gaze cues > incongruent gaze cues; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bockler et al., 2016-eye contact > averted gaze; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bockler et al., 2016-eye contact x congruent > averted gaze x congruent; socialcommunication	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bockler et al., 2016-incongruent gaze cues > congruent gaze cues; socialcommunication	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bristow et al., 2007-Incorrect > correct masked by Gaze Shift > No Movement; socialcommunication	1	2	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bristow et al., 2007-Incorrect > correct; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bristow et al., 2007-Social > unsocial masked by correct > incorrect; socialcommunication	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Bristow et al., 2007-Social > unsocial masked by gaze shift > no movement; socialcommunication	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bristow et al., 2007-Unsocial > social masked by Gaze Shift > No Movement; socialcommunication	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bristow et al., 2007-Unsocial > social masked by incorrect > correct; socialcommunication	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Caruana et al., 2015-(IJA - IJAc) with (RJA - RJAc); socialcommunication	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caruana et al., 2015-(IJA − IJAc) − (RJA − RJAc); socialcommunication	0	1	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caruana et al., 2015-IJA > IJAc; socialcommunication	0	3	2	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caruana et al., 2015-RJA > RJAc; socialcommunication	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: A. Increased activation with less differentiation disparity; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: A. Increased activation with less racial trust disparities; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: A. Increased activation with more differentiation disparity; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: A. Increased activation with more racial trust disparities; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: B. Increased connectivity with orbitofrontal cortex (18, 66, 0) with less racial trust disparity; socialcommunication	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cassidy et al., 2016-Black > White faces: B. Increassed connectivity with dorsolateral prefrontal seed (24, 42, 21) with less differentiation disparity; socialcommunication	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catmur et al., 2008-interaction between observed (hand and foot) and group (Compatible and Incompatible) > baseline during Action Observation task; socialcommunication	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catmur et al., 2008-observation of both hands and feet > baseline and action execution (hands and feet) > baseline (conjunction analysis); socialcommunication	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chen et al., 2010-Gender > Preference; socialcommunication	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen et al., 2010-Preference > Gender; socialcommunication	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloutier et al., 2014-Status Level > baseline; socialcommunication	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloutier et al., 2014-Status Type > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloutier et al., 2014-Status Type x Status Level > baseline; socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contreras et al., 2011-Categorical knowledge (non-social > social); socialcommunication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contreras et al., 2011-Categorical knowledge (social > non-social); socialcommunication	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Match > Unrequited; socialcommunication	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
