Term,Total,Total,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG,Frequency per MAG
Term,Total,Total.1,MAG 1,MAG 1.1,MAG 2,MAG 2.1,MAG 3,MAG 3.1,MAG 4,MAG 4.1,MAG 5,MAG 5.1,MAG 6,MAG 6.1
Anthropomorphic,21,3%,10???,48%,0,0%,2,10%,2,10%,4,19%,3,14%
Attention,50,7%,18??????,36%,3,6%,2,4%,8,16%,10???,20%,9,18%
Auditory features,17,3%,0,0%,1,6%,1,6%,2,12%,12??????,71%,1,6%
Congruence,22,3%,7,32%,4,18%,0,0%,2,9%,3,14%,6,27%
Emotional film,61,9%,17???,28%,8,13%,17??????,28%,4,7%,11???,18%,4???,7%
Encoding,24,4%,1,4%,3,13%,1,4%,6,25%,0,0%,13??????,54%
Erotic,15,2%,1,7%,0,0%,8???,53%,1,7%,0,0%,5,33%
Faces,21,3%,5,24%,2,10%,2,10%,2,10%,8???,38%,2,10%
Imagination,23,3%,4,17%,6,26%,2,9%,2,9%,4,17%,5,22%
Inference,11,2%,4,36%,6???,55%,0,0%,1,9%,0,0%,0,0%
Language,47,7%,9,19%,11???,23%,3,6%,4,9%,14??????,30%,6,13%
Movement,14,2%,4,29%,0,0%,1,7%,2,14%,2,14%,5,36%
Music,21,3%,2,10%,3,14%,3,14%,1,5%,11??????,52%,1,5%
Narrative,30,4%,5,17%,5,17%,1,3%,4,13%,11??????,37%,4,13%
Navigation,81,12%,8???,10%,7,9%,10???,12%,26??????,32%,2,2%,28???,35%
Negative valence,27,4%,8,30%,3,11%,9,33%,1,4%,4,15%,2,7%
Pain,9,1%,0,0%,2,22%,4???,44%,3,33%,0,0%,0,0%
Positive valence,11,2%,2,18%,4,36%,2,18%,2,18%,1,9%,0,0%
Recognition,12,2%,0,0%,4,33%,2,17%,1,8%,1,8%,4,33%
Retrieval,23,3%,1,4%,5,22%,2,9%,4,17%,1,4%,10,43%
Social,26,4%,9,35%,8,31%,2,8%,3,12%,1,4%,3,12%
Spatial memory,10,1%,0,0%,2,20%,0,0%,7???,70%,0,0%,1,10%
Tactile,9,1%,0,0%,1,11%,1,11%,0,0%,3,33%,4,44%
Video game,15,2%,1,7%,2,13%,2,13%,4,27%,0,0%,6,40%
Violence,8,1%,1,13%,2,25%,2,25%,2,25%,0,0%,1,13%
Visual features,65,10%,23???,35%,4,6%,0,0%,10,15%,10???,15%,18??????,28%
