id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7
Akitsuki et al., 2009-Pain > no pain	0	3	6	4	2	2	0
Akitsuki et al., 2009-Self + Other > Self	0	1	6	3	0	1	0
Alba-Ferrara et al., 2011-Complex emotion trials > Simple emotion trials	0	2	1	1	1	0	0
Alba-Ferrara et al., 2011-Complex emotion trials > Simple emotion trials (controlling for pitch)	0	1	2	1	1	1	0
Alba-Ferrara et al., 2011-Emotional trials > Neutral Trials	0	1	4	0	1	0	0
Anders et al., 2015-univariate analysis= friend minus pc	0	0	1	0	0	0	0
Anderson et al., 2013-Sex × Condition	0	0	1	0	0	1	0
Arioli et al., 2017-Affective > Cooperative social interactions	0	0	0	3	0	0	0
Arioli et al., 2017-Cooperative & Affective social interactions (Conjunction analysis)	0	1	7	1	3	2	0
Arioli et al., 2017-Cooperative > Affective social interactions	0	2	3	2	3	0	0
Bacha-Trams et al., 2017-clusters genetic>non-genetic	0	2	1	2	0	0	0
Bacha-Trams et al., 2017-clusters non-genetic>genetic	0	1	5	1	1	0	0
Bacha-Trams et al., 2017-moral dilemma decision task	0	1	5	1	1	0	0
Baek et al., 2017-Select > content	1	0	3	1	0	0	0
Baek et al., 2017-Share > content	1	0	2	1	0	0	0
Baek et al., 2017-Share > select	1	0	0	0	0	0	0
Balslev et al., 2006-Active conditions > passive conditions	0	0	0	0	0	0	0
Barman et al., 2015-monetary reward > social reward	0	0	0	0	0	2	0
Barman et al., 2015-reward > neutral	0	1	0	1	2	1	0
Barman et al., 2015-social reward > monetary reward	1	2	3	1	1	2	0
Beckes et al., 2013-threat-to-self (across all handholding) > threat-to-friend	0	1	1	1	1	0	0
Beckes et al., 2013-threat-to-self (across all handholding) > threat-to-stranger	0	0	0	0	0	0	0
Beckes et al., 2013-threat-to-self (friend handholding) > threat-to-friend	0	1	0	1	2	0	0
Beckes et al., 2013-threat-to-self (stranger handholding) > threat-to-stranger	0	0	0	0	0	0	0
Begliomini et al., 2017-FA > FT	0	0	0	0	0	0	0
Begliomini et al., 2017-FA_HL > PLD	0	0	0	1	0	0	0
Begliomini et al., 2017-FA_PLD > HL	0	1	1	0	0	0	0
Begliomini et al., 2017-HL > PLD	0	1	3	2	0	0	0
Begliomini et al., 2017-HL_FT > FA	0	0	0	0	0	0	0
Begliomini et al., 2017-PLD > HL	0	0	1	1	1	0	0
Begliomini et al., 2017-PLD_FA > FT	0	1	1	0	0	0	0
Begliomini et al., 2017-Stimulus*Direction	0	1	1	0	0	0	0
Benoit et al., 2010-Other > self	1	0	2	0	0	0	0
Benoit et al., 2010-Other > syllables	1	1	3	3	1	1	0
Benoit et al., 2010-Self > other	0	1	0	0	2	0	0
Benoit et al., 2010-Self > syllables	1	1	2	1	1	0	0
Bergström et al., 2014-New > old	0	0	0	0	0	0	0
Bergström et al., 2014-Old > new	1	2	1	1	0	2	0
Beyer et al., 2014-Decision phase= Angry > neutral	0	1	3	1	1	0	0
Beyer et al., 2014-Decision phase= Parametric modulation angry > neutral	0	0	0	0	0	0	0
Beyer et al., 2014-Outcome phase= Angry > neutral	0	0	3	0	1	0	0
Bitsch et al., 2018-Competitive > Cooperative	0	0	0	0	0	0	0
Bitsch et al., 2018-Cooperative > Competitive	0	0	0	0	0	0	0
Bitsch et al., 2018-Dynamic ToM-Value Competitive > Cooperative	0	0	0	0	0	0	0
Bitsch et al., 2018-Early phase Competitive > Cooperative	0	0	0	0	0	0	0
Blackwood et al., 2003-External > internal	0	0	0	0	0	0	0
Blackwood et al., 2003-Internal > external	0	1	1	0	0	0	0
Blackwood et al., 2003-Non-self-serving bias > Self-serving bias	0	0	1	0	0	0	0
Blackwood et al., 2003-Self-serving bias > Non-self-serving bias	0	0	0	0	0	0	0
Bockler et al., 2016-averted gaze > eye contact	0	0	2	1	0	0	0
Bockler et al., 2016-averted gaze x incongruent > averted  gaze x congruent	0	1	1	0	1	0	0
