//Reference=MNI

//(1)Banko, 2011: Hard>easy		
// Subjects=16		
32	-84	8
26	-88	-5
-30	-90	10
-26	-82	-10
-28	-60	-10
50	-56	-10
32	-44	-16
-54	-46	38
54	-50	42
-46	-48	48

//(1)Banko, 2011: Task>Control		
// Subjects=16		
-34	-88	2
52	20	10
34	-86	10
-26	-60	50
		
//(2)Bode, 2012: Hard>easy		
// Subjects=14		
-6	21	42

//(2)Bode, 2012: Task>Control		
// Subjects=14		
-18	-39	-12
		
//(3)Fleming, 2010: Hard>easy		
// Subjects=15		
6	12	51
42	24	-3
		
//(4)Heekeren, 2004: Hard>easy		
// Subjects=12		
-20	4	60
34	-6	56
-24	48	-22
46	32	30
42	64	12
42	4	30
-48	10	32
-34	24	4
34	22	-8
-2	28	38
0	-28	20
-8	6	14
10	-20	4
12	-2	12
	
//(5)Heekeren, 2006: Hard>easy		
// Subjects=8		
-46	-4	39
4	16	49
-26	29	-2
50	19	12
46	20	5
		
//(6)Ho, 2009: Hard>easy 		
// Subjects=11		
44.42	8.92	1.14
33.83	19.61	4.91
47.65	10.44	25.43
32.7	48.85	17.34
22.62	-70.19	38.87
28.75	0.35	52.87
-21.76	-75.24	31.71
-27.25	2.25	57.51
3.3	16.47	44.15
-44	-57.23	36.16
-22.11	24.05	33.79
		
//(7)Kayser,2010a: Hard>easy		
// Subjects=6		
43.04	3.48	29.14
28.35	-6.99	48.82
34.72	-34.91	43.07
10.36	14.18	43.9
24.03	-62.54	42.5
-23.45	-0.91	49.58
-30.46	-49.91	45.84
48.08	6.68	18.59
-28.66	-76.05	20.16
10.74	19.46	34.29
32.01	23.19	1.22
44.29	-63.77	-0.59
30.9	-82.57	13.64
-21.9	-62.66	48.58
29.65	-71.57	24.45
-32.39	20.58	9.32
-29.11	-86.42	4.92
-10.38	8.37	47.74
-43.06	0.84	32.32
-42.92	-72.91	5.51
-10.68	20.22	35.67
-49	3.24	19.4
25.7	-78.18	-8.37
-24.17	-88.89	-6.27
-38.09	18.96	24.5
		
//(8)Kayser 2010b: Hard>easy		
// Subjects=5		
-24	-11	58
-24	-69	55
30	-9	52
-38	-46	45
0	1	63
-2	12	57
26	-76	44
-46	-2	41
22	-71	62
-30	22	8
-24	-76	26
42	18	3
-22	3	65
-38	23	30
-46	5	18
-48	-72	3
-20	-77	46
-30	-94	17
42	5	35
8	23	40
36	-93	2
42	-46	54
		
//(8)Kayser, 2010b: Hard>easy		
// Subjects=5		
-24	-71	55
26	-76	44
36	-88	17
36	-7	54
0	1	63
-24	-9	58
-26	-86	19
36	-75	24
6	16	49
30	-56	49
46	-72	-9
42	-48	54
-24	-71	-18
-40	-80	-14
48	2	39
-40	5	33
-32	-61	62
-38	16	3
		
//(9)Noppeny, 2011:Hard>easy		
// Subjects=19		
-9	-96	-3
15	-99	3
45	-48	-18
-45	-51	-12
27	-60	45
-30	-51	42
-57	-51	9
42	6	33
-39	9	27
		
//(10)Philiastides, 2007: Hard>easy		
// Subjects=12		
0	20	46
-50	20	28
46	20	28
-38	20	-6
36	20	0		
		
//(11)Sunaert, 2000: Hard>easy 		
// Subjects=8		
42.21	50.11	19.42
61.27	16.93	-8.39
48.62	24.34	11.16
49	-76.51	18.06
30.02	-58.47	56.89
		
//(12)Tosoni 2008: Hard>easy 		
// Subjects=12		
1.7	18.47	42.6
39.1	17.08	-2.72
39.25	4.08	35.91
-10.16	-97.54	-6.79
-30.64	19.92	1.94
46.51	30.19	20.76
41.09	49.8	-2.75
-36.83	-3.01	24.63
-2.07	31.37	29.84
-36.01	46.41	4.59
-29.14	-62.39	53.07
4.61	-87.62	-2.01
42.63	-45.18	48.14
18.4	-96.42	7.4
37.13	-38.99	-22.18
33.18	-59.84	51.42
31.65	43.38	14.39
-41.21	31.08	13.44
		
//(13)Ivanoff, 2008: Task>Control 		
// Subjects=22		
-17.67	-6.31	71.36
-24	-11.89	67.34
-29.32	-3.66	64.59
-35.62	-20.93	59.15
-0.87	9.62	53.52
-0.82	-0.68	57.56
-1.95	3.41	38.41
-0.96	19.05	35.12
-44.06	-27.58	55.21
-28.3	-5.52	51.39
-54.7	-14.62	44.4
-55.8	-16.89	24.58
-39.85	-30.32	44.28
-52.66	2.01	39.92
-56.97	10.28	20.51
-53.65	-26.33	25.22
-10.42	-13.26	8.53
-42.18	-1.26	2.34
-21.1	8.17	-1.75
-20.72	-91.69	3.97
1.23	-27.36	0.55
-41.18	11.09	-2.95
-32.46	-67.12	-6.52
-34.93	32.08	-5.53
-7.13	-60.67	-8.22
-20.88	-60.08	-13.73
35.16	-12.72	62.61
40.46	-20.23	59.76
5.47	12.05	57.76
4.46	0.48	58.56
5.45	3.48	38.37
4.33	19.09	35.08
46.88	-43.42	59.09
51.05	-29.93	54.81
31.92	-5.15	48.79
54.14	-16.86	43.91
56.2	-15.96	23.86
40.45	-27.48	44.72
54.03	9.2	38.8
57.14	14.65	23.98
57.31	-30.52	27.07
13.89	-16.14	9.69
43.39	2.68	2.68
21.17	8.66	0.18
26.83	-91.16	5.88
40.16	17.09	-2.73
46.81	-65.92	1.81
6.61	-60.56	-8.31
