// Reference=MNI
// Anderson, 2000: FA, Encoding > Retrieval in Young
// Subjects=12
1.49	-7.75	45.63
-52.36	40.29	11
-43.66	17.76	21.71
-46.16	40.38	-15.85
-50.13	-48.81	-12.78
-31.25	9.15	-35.7
58.79	17	2.75
56.8	5.33	17.14
65.21	-2.68	-4.59
56.46	6.13	-27.53
20.58	-59.7	5.16
39.8	-94.8	-9.96
13.85	-21.27	-20.29
-35.25	44.96	14.87
-52.11	-36.19	12.95
-41.33	-61.5	14.95
-56.69	-10.78	-15.89
-41.8	-18.06	-28.84
-51.96	-39.05	31.03
-26.35	-94.16	4.13
46.22	-68.35	1.13
39.38	-17.92	-34.24
37.88	-33.25	42.89

// Anderson, 2000: FA > DA (Encoding) in Young
// Subjects=12
-54.24	16.61	35.31
-41.82	-22.63	-32.91
-5.37	9.59	-4.81
-13.54	-109.58	-3.64
45.95	32.07	6.1
5.17	41.03	-12.03
41.5	-13.68	-34.62
63.21	-49.56	-5.1
18.07	-17.36	-25.12
-33.33	20.74	-23.27
-50.34	43.5	-2.68
-3.26	64.19	12.89
-26.44	21.35	39.05
-26.61	-44.09	-8.99
-56.5	-59.42	-11.82
30.83	28.15	-15.7
31.26	-96.96	-9.68
12.01	-64.33	1.19

// Arrington, 2000: Invalid > Valid Cueing
// Subjects=12
51.76	-61.86	29.52
50.3	-28.66	-8.93
12.86	53.16	20.32
2.53	21.66	54.31
48.37	16.34	36.38
45.86	24.61	-7.77

// Dade, 2001: Odor Working Memory - Baseline
// Subjects=12
-30	53	6
28	57	0
-27	30	-17
32	44	-18
-40	12	33
39	36	32
-51	34	-9
-12	32	30
-15	6	53
0	17	57
21	12	56
27	-4	59
-30	-23	59
-28	18	6
-44	-54	50
-28	-57	47
43	-54	48
8	-69	51

// Dade, 2001: Face Working Memory - Baseline
// Subjects=12
-35	51	3
34	56	-2
-28	49	16
-39	5	45
-42	20	36
38	34	41
-46	41	-11
-32	27	5
8	20	50
1	-28	24
11	30	32
16	39	18
-8	6	62
17	12	56
31	3	60
-32	-25	60
-5	-26	59
-62	-33	-8
66	-35	-11
-13	-35	66
-40	-47	44
-5	-64	48
40	-56	50
7	-68	47

// Dade, 2001: Conjunction Analysis
// Subjects=12
-34	51	5
28	56	-2
-42	10	41
-41	20	35
40	36	32
-47	39	-11
-35	-52	48
-44	-54	50
40	-56	50
8	-69	51

// Duncan, 2000: Spatial, High vs. Low g
// Subjects=13
-52.53	45.1	6.73
-52.53	31.61	29.96
-48.48	33.36	-7.61
-34.34	8.23	43.97
56.57	29.65	27.68
64.65	19.77	18.46
48.48	44.68	15.42
40.4	9.06	70.13
2.02	24.4	51.35
-26.26	-70.01	39.84
48.48	-60.23	51.23
-24.24	-106.56	-18.08
-38.38	-96.37	-15.11
40.4	-96.47	-12.73
46.46	-75.57	-18.67

// Duncan, 2000: Verbal, High vs. Low g
// Subjects=13
-54.55	31.81	25.62
-50.51	33.36	-7.61
-50.51	47.36	2.5

// Iidaka, 2000: LV2
// Subjects=12
-9.76	52.2	-3.87
24.83	52.12	47.04
24.35	45.03	-17.05
3.24	40.96	14.76
-33.09	3.42	0.49
-5.2	-15.1	6.18
30.94	7.35	-9.5
1.4	-48.22	17.8
3.72	-105.65	18.13
-9.43	-82.74	-14.86
-24.3	21.36	39.03
-48.08	29.39	7.4
-45.77	-72.05	-10.88
-41.93	6.97	-35.4
-22.52	-10.92	-20.74
35.13	-24.29	-33.66
-32.7	-73.8	20.34
24.96	-69.57	14.86
33.39	-94.83	-9.88
46.22	-77.15	-2.59

// Indovina, 2001: Move-Attend vs. No-Move
// Subjects=9
