nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"Akitsuki et al., 2009","Akitsuki et al., 2009",exact_match,19439183,Akitsuki,2009,Social context and perceived agency affects empathy for pain: an event-related fMRI investigation.,1,1
"Anders et al., 2015","Anders et al., 2015",exact_match,25315788,Anders,2015,Social gating of sensory information during ongoing communication.,1,1
"Arioli et al., 2017","Arioli et al., 2017",fuzzy_match,29265483,Arioli,2018,Affective and cooperative social interactions modulate effective connectivity within and between the mirror and mentalizing systems.,0.95,1
"Baek et al., 2017","Baek et al., 2017",exact_match,28504911,Baek,2017,The Value of Sharing Information: A Neural Account of Information Transmission.,1,1
"Balslev et al., 2006","Balslev et al., 2006",exact_match,16406606,Balslev,2006,Similar brain networks for detecting visuo-motor and visuo-proprioceptive synchrony.,1,1
"Begliomini et al., 2017","Begliomini et al., 2017",exact_match,29097704,Begliomini,2017,Potential for social involvement modulates activity within the mirror and the mentalizing systems.,1,1
"Benoit et al., 2010","Benoit et al., 2010",exact_match,20045478,Benoit,2010,When I think about me and simulate you: medial rostral prefrontal cortex and self-referential processes.,1,1
"Bergström et al., 2014","Bergström et al., 2014",fuzzy_match,24700584,Bergström,2015,Reflections of Oneself: Neurocognitive Evidence for Dissociable Forms of Self-Referential Recollection.,0.95,1
"Bitsch et al., 2018","Bitsch et al., 2018",exact_match,29582502,Bitsch,2018,The role of the right temporo-parietal junction in social decision-making.,1,1
"Canessa et al., 2012","Canessa et al., 2012",exact_match,22848759,Canessa,2012,The neural bases of social intention understanding: the role of interaction goals.,1,1
"Carter et al., 2008","Carter et al., 2008",exact_match,18633856,Carter,2008,Friend or foe? Brain systems involved in the perception of dynamic signals of menacing and friendly social approaches.,1,1
"Cassidy et al., 2016","Cassidy et al., 2016",exact_match,26908320,Cassidy,2016,Dynamic neural mechanisms underlie race disparities in social cognition.,1,1
"Centelles et al., 2011","Centelles et al., 2011",exact_match,21249224,Centelles,2011,Recruitment of both the mirror and the mentalizing networks when observing social interactions depicted by point-lights: a neuroimaging study.,1,1
"Cheng et al., 2010","Cheng et al., 2010",exact_match,20188182,Cheng,2010,Love hurts: an fMRI study.,1,1
"Ciaramidaro et al., 2013","Ciaramidaro et al., 2013",multiple_matches,23620602,Ciaramidaro,2014,Do you mean me? Communicative intentions recruit the mirror and the mentalizing system.,0.95,2
"Cikara et al., 2014","Cikara et al., 2014",exact_match,24726338,Cikara,2014,Reduced self-referential neural response during intergroup competition predicts competitor harm.,1,1
"Cloutier et al., 2011","Cloutier et al., 2011",exact_match,21569855,Cloutier,2011,An fMRI study of violations of social expectations: when people are not who we expect them to be.,1,1
"Contreras et al., 2011","Contreras et al., 2011",fuzzy_match,21908447,Contreras,2012,Dissociable neural correlates of stereotypes and other forms of semantic knowledge.,0.95,1
"Contreras et al., 2013","Contreras et al., 2013",exact_match,23574585,Contreras,2013,Common brain regions with distinct patterns of neural responses during mentalizing about groups and individuals.,1,1
"Cross et al., 2019","Cross et al., 2019",exact_match,30852995,Cross,2019,A neurocognitive investigation of the impact of socializing with a robot on empathy for pain.,1,1
"Decety et al., 2004","Decety et al., 2004",exact_match,15488424,Decety,2004,The neural bases of cooperation and competition: an fMRI investigation.,1,1
"Deuse et al., 2016","Deuse et al., 2016",exact_match,27496338,Deuse,2016,Neural correlates of naturalistic social cognition: brain-behavior relationships in healthy adults.,1,1
"Di Cesare et al., 2013","Di Cesare et al., 2013",multiple_matches,23740868,Di Cesare,2014,"The neural correlates of 'vitality form' recognition: an fMRI study: this work is dedicated to Daniel Stern, whose immeasurable contribution to science has inspired our research.",0.95,2
"Dungan et al., 2016","Dungan et al., 2016",exact_match,26969865,Dungan,2016,Theory of mind for processing unexpected events across contexts.,1,1
