nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"Braams et al., 2014","Braams et al., 2014",exact_match,23720575,Braams,2014,Reward-related neural responses are dependent on the beneficiary.,1.0,1
"Cacioppo et al., 2014","Cacioppo et al., 2014",exact_match,25088911,Cacioppo,2014,You are in sync with me: neural correlates of interpersonal synchrony with a partner.,1.0,1
"Carter et al., 2008","Carter et al., 2008",exact_match,18633856,Carter,2008,Friend or foe? Brain systems involved in the perception of dynamic signals of menacing and friendly social approaches.,1.0,1
"Chen et al., 2010","Chen et al., 2010",exact_match,20188190,Chen,2010,'Do I like this person?' A network analysis of midline cortex during a social preference task.,1.0,1
"Cheng et al., 2010","Cheng et al., 2010",exact_match,20188182,Cheng,2010,Love hurts: an fMRI study.,1.0,1
"Cooper et al., 2013","Cooper et al., 2013",multiple_matches,23599165,Cooper,2014,The role of the posterior temporal and medial prefrontal cortices in mediating learning from romantic interest and rejection.,0.95,2
"Cooper et al., 2013","Cooper et al., 2013",multiple_matches,24814646,Fehr,2014,Neural correlates of the empathic perceptual processing of realistic social interaction scenarios displayed from a first-order perspective.,0.6166666666666667,2
"Decety et al., 2004","Decety et al., 2004",exact_match,15488424,Decety,2004,The neural bases of cooperation and competition: an fMRI investigation.,1.0,1
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,26567160,Filkowski,2016,Trying to trust: Brain activity during interpersonal social attitude change.,0.95,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,24582805,Jankowski,2014,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,0.75,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,26235682,Kawasaki,2016,Differential activation of the ventromedial prefrontal cortex between male and female givers of social reputation.,0.6642857142857143,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,26385612,Luo,2016,Genetic and neural correlates of romantic relationship satisfaction.,0.6166666666666667,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,27266443,Kirk,2016,Mindfulness training increases cooperative decision making in economic exchanges: Evidence from fMRI.,0.6166666666666667,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,23327932,Luo,2014,Reminders of mortality decrease midcingulate activity in response to others' suffering.,0.6166666666666667,6
"Güroğlu et al., 2008","Güroğlu et al., 2008",exact_match,17964185,Güroğlu,2008,Why are friends special? Implementing a social interaction simulation task to probe the neural correlates of friendship.,1.0,1
"Hughes et al., 2011","Hughes et al., 2011",fuzzy_match,21862446,Hughes,2012,Orbitofrontal cortex and anterior cingulate cortex are modulated by motivated social cognition.,0.95,1
"Kedia et al., 2013","Kedia et al., 2013",fuzzy_match,23508477,Kedia,2014,The neural correlates of beauty comparison.,0.95,1
"Koban et al., 2013","Koban et al., 2013",multiple_matches,23460073,Koban,2014,Responses of medial and ventrolateral prefrontal cortex to interpersonal conflict for resources.,0.95,3
"Koban et al., 2013","Koban et al., 2013",multiple_matches,24772075,Korn,2014,Cultural influences on social feedback processing of character traits.,0.6166666666666667,3
"Koban et al., 2013","Koban et al., 2013",multiple_matches,25118071,Zelinková,2014,An evaluation of traffic-awareness campaign videos: empathy induction is associated with brain function within superior temporal sulcus.,0.6166666666666667,3
"Kumar et al., 2009","Kumar et al., 2009",exact_match,18537114,Kumar,2009,Frontal operculum temporal difference signals and social motor response learning.,1.0,1
"Labek et al., 2016","Labek et al., 2016",exact_match,27458363,Labek,2016,Neural Correlates of the Appraisal of Attachment Scenes in Healthy Controls and Social Cognition-An fMRI Study.,1.0,1
"Lotze et al., 2006","Lotze et al., 2006",fuzzy_match,16035037,Platek,2006,Neural substrates for functionally discriminating self-face from personally familiar faces.,0.6,1
"Luo et al., 2015","Luo et al., 2015",fuzzy_match,26417673,Liu,2015,Neural basis of disgust perception in racial prejudice.,0.8,1
"Mattan et al., 2018","Mattan et al., 2018",exact_match,29077925,Mattan,2018,External motivation to avoid prejudice alters neural responses to targets varying in race and status.,1.0,1
"Miedl et al., 2016","Miedl et al., 2016",exact_match,26892859,Miedl,2016,"Criticism hurts everybody, praise only some: Common and specific neural responses to approving and disapproving social-evaluative videos.",1.0,1
"Moll et al., 2012","Moll et al., 2012",exact_match,22956840,Moll,2012,A neural signature of affiliative emotion in the human septohypothalamic area.,1.0,1
"Morese et al., 2019","Morese et al., 2019",exact_match,31056647,Morese,2019,Social support modulates the neural correlates underlying social exclusion.,1.0,1
"Quirin et al., 2012","Quirin et al., 2012",fuzzy_match,22841755,Quirin,2013,Neural correlates of social motivation: an fMRI study on power versus affiliation.,0.95,1
"Sugiura et al., 2010","Sugiura et al., 2010",fuzzy_match,20350171,Sugiura,2011,Beyond the memory mechanism: person-selective and nonselective processes in recognition of personally familiar faces.,0.95,1
"Suslow et al., 2009","Suslow et al., 2009",exact_match,19347874,Suslow,2009,Attachment avoidance modulates neural response to masked facial emotion.,1.0,1
"Ueda et al., 2017","Ueda et al., 2017",exact_match,29039129,Ueda,2017,Implicit attitudes and executive control interact to regulate interest in extra-pair relationships.,1.0,1
"Wagels et al., 2016","Wagels et al., 2016",fuzzy_match,26206505,Powers,2016,Individual differences in response of dorsomedial prefrontal cortex predict daily social behavior.,0.6,1
"Wagner et al., 2015","Wagner et al., 2015",exact_match,25298009,Wagner,2015,Beautiful friendship: Social sharing of emotions improves subjective feelings and activates the neural reward circuitry.,1.0,1
"Will et al., 2014","Will et al., 2014",multiple_matches,24652858,Will,2015,Acting on social exclusion: neural correlates of punishment and forgiveness of excluders.,0.95,2
"Will et al., 2014","Will et al., 2014",multiple_matches,23667619,Wildgruber,2013,Different types of laughter modulate connectivity within distinct parts of the laughter perception network.,0.8071428571428572,2
"Wlodarski et al., 2016","Wlodarski et al., 2016",exact_match,27576746,Wlodarski,2016,When BOLD is thicker than water: processing social information about kin and friends at different levels of the social network.,1.0,1
"Špiláková et al., 2019","Špiláková et al., 2019",exact_match,30649548,Špiláková,2019,Dissecting social interaction: dual-fMRI reveals patterns of interpersonal brain-behavior relationships that dissociate among dimensions of social exchange.,1.0,1
"Farrow et al., 2011","Farrow et al., 2011",exact_match,21664277,Farrow,2011,Higher or lower? The functional anatomy of perceived allocentric social hierarchies.,1.0,1
"Polosan et al., 2011","Polosan et al., 2011",exact_match,21955370,Polosan,2011,An fMRI study of the social competition in healthy subjects.,1.0,1
"Rilling et al., 2008","Rilling et al., 2008",exact_match,18486491,Rilling,2008,Social cognitive neural networks during in-group and out-group interactions.,1.0,1
"Suzuki et al., 2012","Suzuki et al., 2012",exact_match,22726841,Suzuki,2012,Learning to simulate others' decisions.,1.0,1
"Von Der Heide et al., 2013","Von Der Heide et al., 2013",multiple_matches,23378834,Von Der Heide,2013,Anterior temporal face patches: a meta-analysis and empirical study.,1.0,6
"Von Der Heide et al., 2013","Von Der Heide et al., 2013",multiple_matches,22125232,Gordon,2013,Brain mechanisms for processing affective touch.,0.8,6
"Von Der Heide et al., 2013","Von Der Heide et al., 2013",multiple_matches,23298748,Thornton,2013,Working memory for social information: chunking or domain-specific buffer?,0.8,6
"Von Der Heide et al., 2013","Von Der Heide et al., 2013",multiple_matches,23876243,Anderson,2013,Sex differences in the development of brain mechanisms for processing biological motion.,0.8,6
"Von Der Heide et al., 2013","Von Der Heide et al., 2013",multiple_matches,23063451,van der Heiden,2013,Inter-individual differences in successful perspective taking during pain perception mediates emotional responsiveness in self and others: an fMRI study.,0.6666666666666667,6
"Von Der Heide et al., 2013","Von Der Heide et al., 2013",multiple_matches,23574585,Contreras,2013,Common brain regions with distinct patterns of neural responses during mentalizing about groups and individuals.,0.6666666666666667,6
