nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
(4) Li 2012,(4) Li 2012,exact_match,22759909,Li,2012,Craving correlates with mesolimbic responses to heroin-related cues in short-term abstinence from heroin: an event-related fMRI study.,1,1
"(8) Xu, 2012","(8) Xu, 2012",exact_match,22860092,Xu,2012,Intense passionate love attenuates cigarette cue-reactivity in nicotine-deprived smokers: an FMRI study.,1,1
"(12) Hu, 2011","(12) Hu, 2011",exact_match,21672322,Hu,2011,Haemodynamic brain response to visual sexual stimuli is different between homosexual and heterosexual men.,1,1
"(13) Li, 2014","(13) Li, 2014",exact_match,25214465,,,,1,1
"(3) Kim, 2012","(3) Kim, 2012",exact_match,22684096,Kim,2012,Functional and effective connectivity of anterior insula in anorexia nervosa and bulimia nervosa.,1,1
"(3) Oei, 2014","(3) Oei, 2014",exact_match,24275010,Oei,2014,Acute stress-induced cortisol elevations mediate reward system activity during subconscious processing of sexual stimuli.,1,1
"(36) Ko, 2013","(36) Ko, 2013",exact_match,23245948,Ko,2013,The brain activations for both cue-induced gaming urge and smoking craving among subjects comorbid with Internet gaming addiction and nicotine dependence.,1,1
"(43) Bi, 2017","(43) Bi, 2017",exact_match,28960762,Bi,2017,White matter integrity of central executive network correlates with enhanced brain reactivity to smoking cues.,1,1
"(44) Bi, 2017","(44) Bi, 2017",exact_match,28960762,Bi,2017,White matter integrity of central executive network correlates with enhanced brain reactivity to smoking cues.,1,1
(5) Lou 2012,(5) Lou 2012,exact_match,22329835,Lou,2012,Cue-elicited craving in heroin addicts at different abstinent time: an fMRI pilot study.,1,1
"(6) Liu, 2011","(6) Liu, 2011",exact_match,22028765,Liu,2011,Interaction between dysfunctional connectivity at rest and heroin cues-induced brain responses in male abstinent heroin-dependent individuals.,1,1
"(7) Kim, 2013","(7) Kim, 2013",exact_match,23347356,Kim,2013,Assessment of brain metabolites change during visual sexual stimulation in healthy women using functional MR spectroscopy.,1,1
"(7) Mei, 2010","(7) Mei, 2010",exact_match,20678551,Mei,2010,Acute effects of sublingual buprenorphine on brain responses to heroin-related cues in early-abstinent heroin addicts: an uncontrolled trial.,1,1
"(8) Oei, 2012","(8) Oei, 2012",exact_match,22395731,Oei,2012,Dopamine modulates reward system activity during subconscious processing of sexual stimuli.,1,1
"(11) Wei, 2020","(11) Wei, 2020",exact_match,30734203,Wei,2020,Assessing drug cue-induced brain response in heroin dependents treated by methadone maintenance and protracted abstinence measures.,1,1
"(12) Ray, 2010","(12) Ray, 2010",exact_match,20729530,Ray,2010,"fMRI BOLD response in high-risk college students (Part 1): during exposure to alcohol, marijuana, polydrug and emotional picture cues.",1,1
"(2) Ames, 2013","(2) Ames, 2013",exact_match,24029699,Ames,2013,Functional imaging of implicit marijuana associations during performance on an Implicit Association Test (IAT).,1,1
"(26) Kim, 2014","(26) Kim, 2014",exact_match,24939441,Kim,2014,Brain activation in response to craving- and aversion-inducing cues related to alcohol in patients with alcohol dependence.,1,1
