meta_pmid,study_pmid,status,final_status,title,Author,corrected_status,reason,SourceSheet,posthoc_status,posthoc_reason
36436737,10607399,YES,YES,Distinct representations of eye gaze and identity in the distributed human neural system for face perception.,Hoffman EA,YES,,YES,,
36436737,10943684,YES,NO,Differential response in the human amygdala to racial outgroup vs ingroup face stimuli.,Hart AJ,,,YES,,
36436737,11352615,YES,YES,Seen gaze-direction modulates fusiform activity and its coupling with other brain areas during face processing.,George N,YES,,YES,NO,"Full-text unavailable, exclude"
36436737,11496124,YES,YES,Investigating the functional anatomy of empathy and forgiveness.,Farrow TF,YES,,YES,,
36436737,11850635,YES,YES,Automatic and intentional brain responses during evaluation of trustworthiness of faces.,Winston JS,YES,,YES,,
36436737,12202103,NO,NO,Hyperscanning: simultaneous fMRI during linked social interactions.,Montague PR ,NO,NotHealthy,YES,,
36436737,14568477,YES,YES,Self-responsibility and the self-serving bias: an fMRI investigation of causal attributions.,Blackwood NJ,YES,,YES,,
36436737,14980212,YES,YES,Brain responses to the acquired moral status of faces.,Singer T,YES,,YES,,
36436737,15006683,YES,YES,Watching social interactions produces dorsomedial prefrontal and medial parietal BOLD fMRI signal increases compared to a resting baseline.,Iacoboni M,YES,,YES,,
36436737,15327630,YES,NO,When strangers pass: processing of mutual and averted social gaze in the superior temporal sulcus.,Pelphrey K,YES,"NoCoordinates, Maybe",YES,YES,"LLM going beyond instructions to say not ""generalizable"""
36436737,15488424,YES,YES,The neural bases of cooperation and competition: an fMRI investigation.,Decety J,YES,,YES,,
36436737,15528097,YES,YES,Brain activation associated with evaluative processes of guilt and embarrassment: an fMRI study.,Takahashi H,YES,,YES,,
36436737,15668098,NO,NO,Mapping brain maturation and cognitive development during adolescence.,Paus T,NO,Non-Adults,Non-Adults,,
36436737,15701234,YES,YES,Understanding intentions in social interaction: the role of the anterior paracingulate cortex.,Walter H,YES,,YES,,
36436737,15808992,NO,YES,"Self-face recognition activates a frontoparietal ""mirror"" network in the right hemisphere: an event-related fMRI study.",,YES,Age,,,
36436737,15862225,YES,NO,Forming impressions of people versus inanimate objects: social-cognitive processing in the medial prefrontal cortex.,Mitchell JP,YES,,YES,,
36436737,16023041,NO,NO,"Taking an ""intentional stance"" on eye-gaze shifts: a functional neuroimaging study of social perception in children.",Mosconi MW,NO,Non-Adults,Non-Adults,,
36436737,16035037,YES,YES,Neural substrates for functionally discriminating self-face from personally familiar faces.,Platek SM,YES,,YES,,
36436737,16055351,YES,YES,Emotion and attention interactions in social cognition: brain regions involved in processing anger prosody.,Sanders D,YES,,YES,,
36436737,16122944,YES,YES,Neuronal correlates of theory of mind and empathy: a functional magnetic resonance imaging study in a nonverbal task.,Vollm BA,YES,,YES,,
36436737,16171833,YES,YES,Being with virtual others: Neural correlates of social interaction.,Schilbach L,YES,,YES,,
36436737,16406606,YES,YES,Similar brain networks for detecting visuo-motor and visuo-proprioceptive synchrony.,Balsev D,YES,,YES,,
36436737,16759672,YES,YES,Spontaneous retrieval of affective person knowledge in face perception.,,YES,,,,
36436737,17055981,YES,NO,Cortical responses to invisible faces: dissociating subsystems for facial-information processing.,,NO,ROI,,NO,Only ROI data is shown
36436737,17071110,YES,YES,Evidence for a different role of the ventral and dorsal medial prefrontal cortex for social reactive aggression: An interactive fMRI study.,Lotze M,YES,,YES,,
36436737,17100784,YES,NO,Dehumanizing the lowest of the low: neuroimaging responses to extreme out-groups.,Harris LT,YES,NoCoordiantes,YES,,
36436737,17404215,YES,YES,Social concepts are represented in the superior anterior temporal cortex.,Zahn R,YES,,YES,,
36436737,17408704,YES,YES,Neural processing of the own child's facial emotions in mothers with a history of early life maltreatment.,Habel U,YES,,YES,,
36436737,17499173,NO,NO,Beyond grasping: representation of action in human anterior intraparietal sulcus.,Tunik E,NO,Non-Human,Non-Human,,
36436737,17536964,YES,NO,Distinct regions of the medial prefrontal cortex are associated with self-referential processing and perspective taking.,D'Argembeau A,YES,Only PDF,YES,,
36436737,17627852,YES,YES,Cortical mechanism of communicative speech production.,Yuko Sassa,YES,,YES,,
36436737,17964185,NO,YES,Why are friends special? Implementing a social interaction simulation task to probe the neural correlates of friendship.,Güroğlu B,YES,NotHealthy,YES,,
36436737,17986835,YES,YES,Cerebral differences in explicit and implicit emotional processing--an fMRI study.,Scheuerecker J,YES,,YES,,
36436737,18082427,NO,NO,Mirroring others' emotions relates to empathy and interpersonal competence in children.,,NO,Non-Adults,,,
36436737,18234518,YES,NO,Cognitive control in social situations: a role for the dorsolateral prefrontal cortex.,Weissman DH,NO,Atypical,YES,NO,"Main whole-brain analyses are not reported, only timecourses in ROIs"
36436737,18313858,,YES,Valuating other people's emotional face expression: a combined functional magnetic resonance imaging and electroencephalography study.,,YES,,,,
36436737,18370602,YES,YES,Mirror neuron system differentially activated by facial expressions and social hand gestures: a functional magnetic resonance imaging study.,,YES,,,,
36436737,18375769,NO,NO,Perception of emotional expressions is independent of face selectivity in monkey inferior temporal cortex.,Hadj-Bouziane F,NO,Non-Human,Non-Human,,
36436737,18431500,YES,NO,Cooperation and deception recruit different subsets of the theory-of-mind network.,Montgomery KJ,YES,,YES,,
36436737,18439411,YES,YES,Know your place: neural processing of social hierarchy in humans.,Zink CF,YES,,YES,,
36436737,18486489,YES,NO,"Self, mother and abstract other: an fMRI study of reflective social processing.",Vanderwal T,YES,,YES,,
36436737,18486491,NO,YES,Social cognitive neural networks during in-group and out-group interactions.,,YES,???,,,
36436737,18501639,YES,YES,Face-specific and domain-general characteristics of cortical responses during self-recognition.,Sugiura M,YES,,YES,,
36436737,18514546,YES,YES,Gender differences in brain networks supporting empathy.,Schulte-Rüther M,YES,,YES,,
36436737,18537114,YES,YES,Frontal operculum temporal difference signals and social motor response learning.,Kumar P,YES,,YES,,
36436737,18573266,NO,NO,Who caused the pain? An fMRI investigation of empathy and intentionality in children.,Decety J,NO,Non-Adults,Non-Adults,,
36436737,18585742,YES,YES,The posterior superior temporal sulcus is involved in social communication not specific for the eyes.,Materna S,YES,,YES,,
36436737,18586108,NO,NO,Your hand or mine? The extrastriate body area.,Meyers A ,NO,NotHealthy,YES,,
36436737,18603608,NO,YES,Understanding the intentions behind man-made products elicits neural activity in areas dedicated to mental state attribution.,Steinbeis N,YES,NotHealthy,YES,,
36436737,18633788,YES,YES,"Theory of mind broad and narrow: reasoning about social exchange engages ToM areas, precautionary reasoning does not.",Ermer E,YES,,YES,,
36436737,18633834,YES,YES,Listening to humans walking together activates the social brain circuitry.,,YES,,,,
36436737,18633845,YES,NO,What's in a smile? Neural correlates of facial embodiment during social interaction.,,YES,,,,
36436737,18633846,YES,YES,Observing social interactions: the effect of gaze.,peirno ac,YES,,YES,,
36436737,18633856,YES,YES,Friend or foe? Brain systems involved in the perception of dynamic signals of menacing and friendly social approaches.,Carter EJ,YES,,YES,,
36436737,18783371,YES,YES,Through the looking glass: counter-mirror activation following incompatible sensorimotor learning.,Catmur ,YES,,YES,,
36436737,18985118,YES,YES,Social groups that elicit disgust are differentially processed in mPFC.,Harris LT,YES,,YES,,
